tic,conm,distress,word_count,word_complexity,sentiment,word_similarity
BBY,BEST BUY CO INC,0,612311,2.408582089552239,1,37.2
CAL,CALERES INC,0,489370,2.4356435643564356,2,35.95
CASY,CASEYS GENERAL STORES INC,0,244964,2.417549167927383,-3,30.5
CATO,CATO CORP  -CL A,0,325121,2.5969162995594712,0,39.5
EAT,BRINKER INTL INC,0,342545,2.483558994197292,-1,33.85
BH,BIGLARI HOLDINGS INC,0,907493,1.8875,0,31.4
CBRL,CRACKER BARREL OLD CTRY STOR,0,273484,2.4474074074074075,0,31.75
WEN,WENDY'S CO,0,507184,2.616822429906542,-1,35.1
TGT,TARGET CORP,0,491175,2.5261627906976742,-1,28.55
DDS,DILLARDS INC  -CL A,0,306251,2.4790076335877864,0,37.5
DG,DOLLAR GENERAL CORP,0,331467,2.514657980456026,0,34.35
M,MACY'S INC,0,375034,2.4929906542056073,1,35.5
BDL,FLANIGANS ENTERPRISES INC,0,335369,2.4210526315789473,0,31.5
GAP,GAP INC,0,379476,2.38,0,26.1
GCO,GENESCO INC,0,378996,2.4723809523809526,-2,36.4
HVT,HAVERTY FURNITURE,0,298305,2.4234972677595628,0,28.1
HD,HOME DEPOT INC,0,821990,2.2058823529411766,0,20.6
KR,KROGER CO,0,519428,2.4265402843601898,0,28.45
BBWI,BATH & BODY WORKS INC,0,318285,2.3701298701298703,0,30.45
LOW,LOWE'S COS INC,0,397467,2.493734335839599,0,30.7
MCD,MCDONALD'S CORP,0,412177,2.511520737327189,0,30.0
JWN,NORDSTROM INC,0,378179,2.4893617021276597,-1,40.05
AN,AUTONATION INC,0,487536,2.4483516483516485,2,32.6
ROST,ROSS STORES INC,0,281995,2.4433198380566803,-2,40.3
SSY,SUNLINK HEALTH SYSTEMS INC,0,277451,2.5525040387722133,1,33.25
VLGEA,VILLAGE SUPER MARKET  -CL A,0,1003552,1.7282608695652173,-1,29.9
WMT,WALMART INC,0,378809,2.4910536779324057,-1,29.2
WBA,WALGREENS BOOTS ALLIANCE INC,0,583852,2.5,1,33.75
WMK,WEIS MARKETS INC,0,257084,2.5268389662027833,1,38.0
WSM,WILLIAMS-SONOMA INC,0,256525,2.4466165413533836,0,31.75
FL,FOOT LOCKER INC,0,549205,2.4561797752808987,0,31.7
TJX,TJX COS INC (THE),0,392876,2.546511627906977,0,32.65
ARKR,ARK RESTAURANTS CORP,0,253955,2.4745166959578206,1,27.75
NGVC,NATURAL GROCERS VITAMIN CTGE,0,341710,2.449074074074074,1,34.4
ELA,ENVELA CORP,0,343014,2.48692152917505,1,32.8
BIGGQ,BIG LOTS INC,0,287515,2.443697478991597,1,28.15
IMKTA,INGLES MARKETS INC  -CL A,0,387830,2.4582623509369674,0,37.3
JACK,JACK IN THE BOX INC,0,473989,2.4594594594594597,1,42.15
DXLG,DESTINATION XL GROUP INC,0,412663,2.435185185185185,-3,30.45
CRMT,AMERICA'S CAR-MART INC,0,357875,2.495256166982922,0,37.45
MHGU,MERITAGE HOSPITALITY GROUP,0,56932,2.4847870182555782,-1,7.95
TTSH,TILE SHOP HOLDINGS INC,0,411619,2.430894308943089,-1,34.75
FGPR,FERRELLGAS PARTNERS  -LP,0,432655,2.4541284403669725,0,37.75
ODP,ODP CORP,0,633915,2.428921568627451,-1,41.05
SIG,SIGNET JEWELERS LTD,0,521950,2.3793103448275863,1,26.8
SPWH,SPORTSMANS WAREHOUSE HLDGS,0,321685,2.441860465116279,-1,29.7
SFM,SPROUTS FARMERS MARKET,0,385410,2.396449704142012,0,27.1
NDLS,NOODLES & CO,0,296357,2.528155339805825,1,41.8
MUSA,MURPHY USA INC,0,392340,2.4947145877378434,0,30.75
CANN,TREES CORP,0,364961,2.5135135135135136,0,27.45
BURL,BURLINGTON STORES INC,0,504523,2.3602693602693603,1,33.85
PBPB,POTBELLY CORP,0,320611,2.3791469194312795,1,24.6
STKS,ONE GP HOSPITALITY (THE),0,354271,2.437246963562753,0,33.45
CWH,CAMPING WORLD HOLDINGS INC,0,696777,2.4252199413489737,-2,42.8
DENN,DENNYS CORP,0,1481622,1.9827586206896552,0,34.25
LE,LANDS' END INC,0,407230,2.484486873508353,-1,35.6
CNNE,CANNAE HOLDINGS INC,0,690398,2.3933333333333335,0,29.85
RMBL,RUMBLEON INC,0,419870,2.3132530120481927,0,31.65
LOCO,EL POLLO LOCO HOLDINGS INC,0,485790,2.4972067039106145,-1,33.55
W,WAYFAIR INC,0,347688,2.5378927911275415,-1,33.65
BOOT,BOOT BARN HOLDINGS INC,0,300850,2.4571428571428573,0,29.75
FND,FLOOR & DECOR HLDGS,0,366941,2.4615384615384617,0,24.8
EFSH,1847 HOLDINGS LLC,0,594437,2.4769647696476964,0,34.85
RSTRF,RESTAURANT BRANDS INTL LP,0,586291,2.3848039215686274,2,37.6
GTIM,GOOD TIMES RESTAURANTS INC,0,253335,2.4200848656294203,1,32.9
SHAK,SHAKE SHACK INC,0,454146,2.4339152119700747,1,41.3
BNED,BARNES & NOBLE EDUCATION INC,0,409767,2.4726930320150657,1,33.9
AZO,AUTOZONE INC,0,341211,2.4245472837022133,-1,28.8
WING,WINGSTOP INC,0,290130,2.5232323232323233,-1,36.45
OLLI,OLLIE'S BARGAIN OUTLET HLDGS,0,440908,2.3238636363636362,0,25.05
FCFS,FIRSTCASH HOLDINGS INC,0,437891,2.3763066202090593,1,29.4
DBI,DESIGNER BRANDS INC,0,4642752,1.7857142857142858,0,32.0
EZPW,EZCORP INC  -CL A,0,462948,2.456338028169014,2,26.9
BKE,BUCKLE INC,0,224815,2.389937106918239,0,30.7
KSS,KOHL'S CORP,0,446107,2.4166666666666665,0,38.6
SBUX,STARBUCKS CORP,0,535975,2.358267716535433,-1,32.4
ACI,ALBERTSONS COS INC,0,473637,2.444954128440367,0,39.2
CAKE,CHEESECAKE FACTORY INC,0,356066,2.5357798165137613,-2,37.75
GORV,LAZYDAYS HOLDINGS INC,0,360735,2.570127504553734,1,44.45
DLTH,DULUTH HOLDINGS INC,0,460446,2.506194690265487,1,31.65
VVV,VALVOLINE INC,0,517320,2.26271186440678,1,40.4
SCVL,SHOE CARNIVAL INC,0,307922,2.488294314381271,-2,41.45
ORLY,O'REILLY AUTOMOTIVE INC,0,370029,2.426048565121413,-2,33.75
PZZA,PAPA JOHNS INTERNATIONAL INC,0,492499,2.3439306358381504,-1,22.75
YUMC,YUM CHINA HOLDINGS INC,0,580295,2.4166666666666665,1,42.05
GRWG,GROWGENERATION CORP,0,341483,2.3797752808988766,0,30.0
TLF,TANDY LEATHER FACTORY INC,0,389505,2.5017064846416384,0,35.7
COST,COSTCO WHOLESALE CORP,0,273399,2.496993987975952,1,27.2
URBN,URBAN OUTFITTERS INC,0,387791,2.443418013856813,-1,35.2
TSCO,TRACTOR SUPPLY CO,0,350334,2.4587628865979383,0,24.55
AEO,AMERN EAGLE OUTFITTERS INC,0,446713,2.4228395061728394,-1,34.5
JILL,J JILL INC,0,424596,2.4673366834170856,0,32.95
CVNA,CARVANA CO,0,560903,2.496221662468514,0,32.1
DLTR,DOLLAR TREE INC,0,427698,2.3771186440677967,0,38.0
DRI,DARDEN RESTAURANTS INC,0,488447,2.514348785871965,0,24.85
EYE,NATIONAL VISION HOLDINGS INC,0,507380,2.5705705705705704,1,32.6
FAT,FAT BRANDS INC,0,390945,2.571171171171171,-2,32.45
SFIX,STITCH FIX INC,0,394197,2.4123989218328843,-1,26.85
BJ,BJS WHSL CLUB HLDGS INC,0,371648,2.5768261964735517,0,31.35
SHRG,SHARING SERVICES GLOBAL CORP,0,355995,2.518375241779497,3,27.65
RVLV,REVOLVE GROUP INC,0,362753,2.530343007915567,1,30.5
DBGI,DIGITAL BRANDS GRP INC,0,635623,2.325,0,39.2
KXIN,KAIXIN HOLDINGS,0,117803,2.411957411957412,-2,26.55
CHWY,CHEWY INC,0,329936,2.456611570247934,2,31.4
KRUS,KURA SUSHI USA INC,0,343946,2.45750452079566,1,30.4
ONEW,ONEWATER MARINE INC,0,400667,2.526112185686654,-1,26.1
BTBD,BT BRANDS INC,0,215344,2.5317348377997178,-1,23.1
VENU,VENU HOLDING CORP,0,575357,2.4,0,39.0
ASO,ACADEMY SPO AND OU INC,0,372589,2.437974683544304,-2,41.8
LESL,LESLIE'S INC,0,328337,2.4796610169491524,0,31.05
WOOF,PETCO HEALTH AND WELLNESS CO,0,570140,2.3580246913580245,1,29.8
IPW,IPOWER INC,0,301403,2.4433333333333334,1,36.6
OPAL,OPAL FUELS INC,0,562339,2.4624505928853755,-1,42.7
CPNG,COUPANG INC,0,504520,2.277591973244147,0,28.0
GROV,GROVE COLLABORATIVE HLDG INC,0,381809,2.549019607843137,0,28.6
TDUP,THREDUP INC,0,319174,2.580168776371308,0,28.7
DIBS,1STDIBS.COM INC,0,341268,2.4930313588850175,0,36.75
NEGG,NEWEGG COMMERCE INC,0,166519,2.5041916167664673,0,42.4
NXXT,NEXTNRG INC,0,680582,2.47008547008547,0,39.1
BARK,BARK INC,0,351614,2.367283950617284,1,48.7
XMTR,XOMETRY INC,0,482604,2.3585858585858586,0,42.0
CURV,TORRID HOLDINGS INC,0,378228,2.5334608030592736,0,39.25
EVGO,EVGO INC,0,427302,2.565891472868217,0,37.3
VSCO,VICTORIAS SECRET AND CO,0,361457,2.4610655737704916,1,40.05
BROS,DUTCH BROS INC,0,3923302,1.8620689655172413,0,29.6
AKA,A.K.A. BRAND HOLD CORP,0,321950,2.5220820189274447,2,25.05
WRBY,WARBY PARKER INC,0,301823,2.483535528596187,0,32.6
PNST,PINSTRIPES HOLDINGS INC,0,328008,2.549698795180723,2,33.7
BRLT,BRILLIANT EARTH GP INC,0,488563,2.328888888888889,0,34.6
FWRG,FIRST WATCH RESTAURA GRO INC,0,458121,2.396039603960396,1,31.2
PTLO,PORTILLO'S INC,0,475946,2.573831775700935,0,33.25
ARHS,ARHAUS INC,0,315261,2.4507575757575757,-1,30.55
PIKM,KIDPIK CORP,0,216491,2.41625,-1,39.35
LVLU,LULU'S FASHION LOUN HOLD INC,0,445088,2.509966777408638,0,39.8
SG,SWEETGREEN INC,0,362267,2.451171875,-2,41.95
HOUR,HOUR LOOP INC,0,233080,2.472809667673716,0,28.95
YCQH,YCQH AGRICULTURAL TEC CO LTD,0,200894,2.4766146993318485,-2,36.85
SVV,SAVERS VALUE VILLAGE INC,0,380132,2.5091649694501017,0,33.35
REBN,REBORN COFFEE INC,0,260041,2.4987113402061856,-1,22.1
CBDW,1606 CORP,0,135834,2.3637640449438204,3,26.05
YOSH,YOSHIHARU GLOBAL CO,0,284732,2.424886191198786,0,41.35
GCT,GIGACLOUD TECHNOLOGY INC,0,496770,2.366782006920415,-2,32.95
MSS,MAISON SOLUTIONS INC,0,366569,2.4302925989672977,-1,34.65
CAVA,CAVA GROUP INC,0,314446,2.4205882352941175,-3,26.6
GENK,GEN RESTAURANT GROUP INC,0,345537,2.4003690036900367,-1,38.65
CART,MAPLEBEAR INC,0,437355,2.488532110091743,1,54.8
GRDN,GUARDIAN PHARMACY SERVIS INC,0,505026,2.202970297029703,0,40.1
HCWC,HEALTHY CHOICE WELLNESS CORP,0,267350,2.4329563812600967,0,26.8
TWNP,TWIN HOSPITALITY GROUP INC,0,312742,2.541899441340782,0,41.95
RICK,RCI HOSPITALITY HLDGS INC,0,581139,2.3297491039426523,0,32.95
SGU,STAR GROUP LP,0,435580,2.3532934131736525,0,39.85
SPH,SUBURBAN PROPANE PRTNRS  -LP,0,620084,2.421641791044776,-2,37.3
RUSHA,RUSH ENTERPRISES INC,0,428498,2.451171875,0,38.45
ANF,ABERCROMBIE & FITCH  -CL A,0,1932475,2.176470588235294,0,34.4
BJRI,BJ'S RESTAURANTS INC,0,323395,2.5197472353870456,-1,35.05
PAG,PENSKE AUTOMOTIVE GROUP INC,0,415147,2.3993399339933994,0,35.15
LAD,LITHIA MOTORS INC  -CL A,0,628976,2.1904761904761907,0,39.9
KMX,CARMAX INC,0,1150561,2.0,0,24.3
AMZN,AMAZON.COM INC,0,372404,2.445887445887446,0,28.9
PSMT,PRICESMART INC,0,470590,2.3214285714285716,0,36.25
PETS,PETMED EXPRESS INC,0,284709,2.5171717171717174,1,30.25
YUM,YUM BRANDS INC,0,572513,2.410138248847926,0,35.8
PLCE,CHILDRENS PLACE INC,0,355984,2.5193798449612403,-2,37.0
GPI,GROUP 1 AUTOMOTIVE INC,0,440034,2.3475479744136463,-1,24.3
SAH,SONIC AUTOMOTIVE INC  -CL A,0,446845,2.4249363867684477,0,37.7
LIVE,LIVE VENTURES INC,0,439581,2.378167641325536,-3,29.05
HZO,MARINEMAX INC,0,586560,2.6,0,37.15
RH,RH,0,524289,2.488943488943489,-1,32.05
EBAY,EBAY INC,0,492953,2.438864628820961,-2,27.45
NXPL,NEXTPLAT CORP,0,498219,2.513611615245009,-1,25.3
FLWS,1-800-FLOWERS.COM,0,432925,2.459244532803181,-1,28.3
DNUT,KRISPY KREME INC,0,780100,2.0813008130081303,1,31.9
ABG,ASBURY AUTOMOTIVE GROUP INC,0,725606,2.4515151515151516,-1,26.7
BGFV,BIG 5 SPORTING GOODS CORP,0,299975,2.4991735537190083,0,40.6
GME,GAMESTOP CORP,0,387516,2.183098591549296,1,30.15
AAP,ADVANCE AUTO PARTS INC,0,418344,2.501298701298701,1,35.35
BYON,BEYOND INC,0,980731,2.220125786163522,0,31.55
KIRK,KIRKLAND'S INC,0,240081,2.522408963585434,0,36.3
RRGB,RED ROBIN GOURMET BURGERS,0,359630,2.5578093306288032,1,34.0
DKS,DICKS SPORTING GOODS INC,0,347835,2.431174089068826,-1,36.35
DPZ,DOMINO'S PIZZA INC,0,452741,2.5142857142857142,-1,38.65
TXRH,TEXAS ROADHOUSE INC,0,365642,2.4339250493096647,0,37.0
BBW,BUILD-A-BEAR WORKSHOP INC,0,348745,2.413008130081301,2,23.15
ZUMZ,ZUMIEZ INC,0,363930,2.406779661016949,-1,33.6
CTRN,CITI TRENDS INC,0,226556,2.5283018867924527,1,48.7
QSR,RESTAURANT BRANDS INTL INC,0,538663,2.5610766045548656,1,30.25
SCGY,SCIENTIFIC ENERGY INC,0,177410,2.4229607250755287,0,28.25
CMG,CHIPOTLE MEXICAN GRILL INC,0,318401,2.487623762376238,2,36.75
LQDT,LIQUIDITY SERVICES INC,0,585614,2.354651162790698,0,34.15
CETY,CLEAN ENERGY TECHNOLOGIES,0,450290,2.504725897920605,0,35.9
BLMH,BLUM HOLDINGS INC,0,540709,2.5294117647058822,0,29.4
BLMN,BLOOMIN' BRANDS INC,0,590069,2.3293768545994067,1,21.6
FIVE,FIVE BELOW INC,0,276867,2.4623655913978495,1,37.55
QVCGA,QVC GROUP INC,0,429678,2.479768786127168,1,45.65
SBH,SALLY BEAUTY HOLDINGS INC,0,402525,2.4574257425742574,0,24.9
CLNE,CLEAN ENERGY FUELS CORP,0,569519,2.4867021276595747,1,34.1
PRTS,CARPARTS COM INC,0,266491,2.4310897435897436,-2,40.25
MELI,MERCADOLIBRE INC,0,633643,2.4892241379310347,0,36.85
ULTA,ULTA BEAUTY INC,0,323569,2.498997995991984,1,40.8
HCMC,HEALTHIER CHOICES MNGMT CORP,0,249931,2.5594294770206023,1,37.4
NGL,NGL ENERGY PARTNERS LP,0,641087,2.5530474040632054,-1,28.9
ARMK,ARAMARK,0,674025,2.504830917874396,1,37.7
KPEA,KUN PENG INTERNATIONAL LTD,0,488389,2.4364261168384878,-1,40.3
GRPN,GROUPON INC,0,442001,2.5298969072164947,1,33.95
TLYS,TILLY'S INC,0,337492,2.5076335877862594,-2,41.5
GO,GROCERY OUTLET HLDNG CORP,0,575366,2.35978835978836,0,32.2
ARKO,ARKO CORP,0,647362,2.4323308270676693,0,33.5
LOGC,CONTEXTLOGIC INC,0,391384,2.492730210016155,1,39.15
